UNDERLYING,SYMBOL,Jun-24
AARTI INDUSTRIES LTD,AARTIIND,1000
ABB INDIA LIMITED,ABB,125
ABBOTT INDIA LIMITED,ABBOTINDIA,20
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,5400
ADITYA BIRLA FASHION & RT,ABFRL,2600
ACC LIMITED,ACC,300
ADANI ENTERPRISES LIMITED,ADANIENT,300
ADANI PORT & SEZ LTD,ADANIPORTS,400
ALKEM LABORATORIES LTD.,ALKEM,100
AMBUJA CEMENTS LTD,AMBUJACEM,900
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,125
APOLLO TYRES LTD,APOLLOTYRE,1700
ASHOK LEYLAND LTD,ASHOKLEY,5000
ASIAN PAINTS LIMITED,ASIANPAINT,200
ASTRAL LIMITED,ASTRAL,367
ATUL LTD,ATUL,75
AU SMALL FINANCE BANK LTD,AUBANK,1000
AUROBINDO PHARMA LTD,AUROPHARMA,550
AXIS BANK LIMITED,AXISBANK,625
BAJAJ AUTO LIMITED,BAJAJ-AUTO,125
BAJAJ FINSERV LTD.,BAJAJFINSV,500
BAJAJ FINANCE LIMITED,BAJFINANCE,125
BALKRISHNA IND. LTD,BALKRISIND,300
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,1600
BANDHAN BANK LIMITED,BANDHANBNK,2500
BANK OF BARODA,BANKBARODA,2925
BATA INDIA LTD,BATAINDIA,375
BHARAT ELECTRONICS LTD,BEL,2850
BERGER PAINTS (I) LTD,BERGEPAINT,1320
BHARAT FORGE LTD,BHARATFORG,500
BHARTI AIRTEL LIMITED,BHARTIARTL,475
BHEL,BHEL,2625
BIOCON LIMITED.,BIOCON,2500
BOSCH LIMITED,BOSCHLTD,25
BHARAT PETROLEUM CORP LT,BPCL,900
BRITANNIA INDUSTRIES LTD,BRITANNIA,200
BIRLASOFT LIMITED,BSOFT,1000
CANARA BANK,CANBK,1350
CAN FIN HOMES LTD,CANFINHOME,975
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,1900
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,625
CIPLA LTD,CIPLA,650
COAL INDIA LTD,COALINDIA,2100
COFORGE LIMITED,COFORGE,150
COLGATE PALMOLIVE LTD.,COLPAL,350
CONTAINER CORP OF IND LTD,CONCOR,1000
COROMANDEL INTERNTL. LTD,COROMANDEL,700
CROMPT GREA CON ELEC LTD,CROMPTON,1800
CITY UNION BANK LTD,CUB,5000
CUMMINS INDIA LTD,CUMMINSIND,300
DABUR INDIA LTD,DABUR,1250
DALMIA BHARAT LIMITED,DALBHARAT,250
DEEPAK NITRITE LTD,DEEPAKNTR,300
DIVI S LABORATORIES LTD,DIVISLAB,200
DIXON TECHNO (INDIA) LTD,DIXON,100
DLF LIMITED,DLF,825
DR. REDDY S LABORATORIES,DRREDDY,125
EICHER MOTORS LTD,EICHERMOT,175
ESCORTS KUBOTA LIMITED,ESCORTS,275
EXIDE INDUSTRIES LTD,EXIDEIND,1800
FEDERAL BANK LTD,FEDERALBNK,5000
GAIL (INDIA) LTD,GAIL,4575
GLENMARK PHARMACEUTICALS,GLENMARK,725
GMR AIRPORTS INFRA LTD,GMRINFRA,11250
GUJ NAR VAL FER & CHEM L,GNFC,1300
GODREJ CONSUMER PRODUCTS,GODREJCP,500
GODREJ PROPERTIES LTD,GODREJPROP,475
GRANULES INDIA LIMITED,GRANULES,2000
GRASIM INDUSTRIES LTD,GRASIM,477
GUJARAT GAS LIMITED,GUJGASLTD,1250
